Time,Action,BE_Val0,BE_Val1,BE_Val2,LE_Val0,LE_Val1,LE_Val2
10.11,ROLL (右傾),-20557226,-701227537,812727653,1448265470,-283298602,1698525488
10.16,ROLL (右傾),-16364642,-701758311,812276670,-1639250177,-1727779626,-1101305296
10.21,ROLL (右傾),-11128847,-702496176,811580318,-248555777,1354899670,-1631887568
10.26,ROLL (右傾),-956031,-702870552,810968154,-2123763201,-401925162,1516525104
10.31,ROLL (右傾),9931429,-701868508,811305159,-1517644032,609626838,-947365072
10.36,ROLL (右傾),18609056,-699743589,812434916,-1594680575,-1681765674,-456823760
10.41,ROLL (右傾),25102901,-697809725,813461213,889880321,-1018926890,-579961808
10.46,ROLL (右傾),35287382,-696777645,813050172,1450252802,1392802006,1009350192
10.51,ROLL (右傾),42577572,-696513967,812120741,-1532065534,1359641814,-1510316240
10.56,ROLL (右傾),49421460,-696507522,810904839,-1810042366,2116254934,124605744
10.61,ROLL (右傾),52207758,-696890093,809971882,-1902109693,323843798,-1439676624
10.66,ROLL (右傾),57204282,-696829005,809055986,987654147,-1287948330,-231327440
10.71,ROLL (右傾),62882095,-696268133,808362034,797032195,-1681227818,849358384
10.76,ROLL (右傾),69017294,-695688098,807438522,-836887292,1587841238,-1165483984
10.81,ROLL (右傾),73362416,-695758522,806212938,-261398780,1183942614,1255476528
10.86,ROLL (右傾),74308684,-696398682,805252489,1289514244,-1496547882,-1993474257
10.91,ROLL (右傾),76270587,-696872062,804182285,-70546684,-2104265002,232386095
10.96,ROLL (右傾),77654247,-696500566,804058408,-404185084,-1438745386,687205423
11.02,ROLL (右傾),79243269,-696315081,803689759,86554884,924024790,525723439
11.07,ROLL (右傾),77183994,-696980104,803725191,-88368892,2028827862,-2015369425
11.12,ROLL (右傾),79434991,-697806396,802405629,-283853820,-1001297706,-37956817
11.17,ROLL (右傾),79098827,-697528514,802633346,-873220604,1049586902,-2110335185
11.22,ROLL (右傾),73368046,-697938371,803802293,-293511420,1028548310,-1257445073
11.27,ROLL (右傾),63167736,-699313576,805164524,-119749885,1481789910,-321520337
11.32,ROLL (右傾),38377568,-700630692,809094873,1620592898,1547255254,-640796368
11.37,ROLL (右傾),6485065,-702020677,811581007,1240752640,-1157420842,1337876272
11.42,ROLL (右傾),-25328412,-700719698,813183949,-461079042,-1361232938,-852264912
11.47,ROLL (右傾),-68824357,-695289753,813919277,-606935557,1740148438,762086192
11.52,ROLL (右傾),-115372708,-684270992,814583019,1552752633,1893349079,-343110352
11.57,ROLL (右傾),-154599371,-666940005,819406906,889244150,-1689436200,975755056
11.62,ROLL (右傾),-210640313,-634905814,826895759,1206022643,706423002,-1888663247
11.67,ROLL (右傾),-265347770,-604610084,827414480,1176317936,-597559589,-799583951
11.72,ROLL (右傾),-294217866,-585435417,829335238,1989637870,-403301667,-962171343
11.77,ROLL (右傾),-310592704,-569501926,833997389,1086029037,437718750,1305130289
11.82,ROLL (右傾),-327181242,-551382787,839211379,1184661484,-40885537,1935213874
11.87,ROLL (右傾),-346667950,-529902631,846613351,1380210411,-648844576,1732998706
11.92,ROLL (右傾),-362268028,-512076706,853692310,-2076546838,1582594785,-1773149646
11.98,ROLL (右傾),-377668794,-493565312,859834773,1178303977,-2134207262,-1794555853
12.03,ROLL (右傾),-394251838,-471532917,866038511,-1036943128,-1946491677,-273506765
12.08,ROLL (右傾),-408115209,-447951193,874239917,-140006169,-1479652123,-1378411724
12.13,ROLL (右傾),-426028336,-416171059,883801102,-799892506,-843370009,247246132
12.18,ROLL (右傾),-443915380,-384685830,892076452,-1939633435,-98037015,-1543427019
12.23,ROLL (右傾),-459186526,-355116546,899690340,-1570856476,-27666966,1680842805
12.28,ROLL (右傾),-466219318,-335459573,905057434,-905038108,189465068,-1709903307
12.33,ROLL (右傾),-468997497,-324906601,908010775,-2018898972,-1756257556,388308790
12.38,ROLL (右傾),-472987991,-321542855,907116873,-1446588701,967169516,1233195318
12.43,ROLL (右傾),-477442592,-320885514,904792834,-523400477,-156442644,34336309
12.48,ROLL (右傾),-484567302,-314638263,903041180,-99213597,1224753133,-1672424651
12.53,ROLL (右傾),-493127955,-299541549,903775651,-310993950,-749001234,-1551507915
12.58,ROLL (右傾),-502739068,-279565013,905134255,-2066806558,724391663,-1354697931
12.63,ROLL (右傾),-510555634,-249739773,909647845,243962337,54926833,-450938826
12.68,ROLL (右傾),-523163782,-223081528,909707256,2049429984,-938756878,-133744330
12.73,ROLL (右傾),-535220450,-193949552,909749835,506403296,-1869582092,1269709110
12.78,ROLL (右傾),-541835204,-165570356,911431828,1010873567,-862445066,-1806150858
12.83,ROLL (右傾),-544344223,-142183692,913968378,1643613663,-193820937,-99845578
12.88,ROLL (右傾),-546800227,-129136924,914564470,-1652725537,-460960264,1982169910
12.93,ROLL (右傾),-550539706,-120242431,913571619,1181626335,20960760,603943734
12.98,ROLL (右傾),-555489639,-115121307,911271210,-1712921634,1700996089,719671350
13.03,ROLL (右傾),-559721715,-110487000,909290442,223585246,672819961,-894750154
13.09,ROLL (右傾),-564747991,-101535330,907264709,698439390,-1632505095,-977136842
13.14,ROLL (右傾),-570516587,-88755781,905097281,-1784938787,-1145981446,1102115381
13.19,ROLL (右傾),-575349247,-74740527,903399391,31372509,-779318277,-540551115
13.24,ROLL (右傾),-580056619,-61322487,901479090,-720802339,155932924,-1300579531
13.29,ROLL (右傾),-585082912,-48772714,899010958,-531160867,-1765206019,-1898867403
13.34,ROLL (右傾),-591248309,-34870068,895608200,1262797532,-856888323,-1998233291
13.39,ROLL (右傾),-596570157,-23995614,892397994,-753962532,584815102,-1427558347
13.44,ROLL (右傾),-602795605,-11021209,888398517,-1424944420,1741969407,-1243417804
13.49,ROLL (右傾),-606265455,1865227,886065367,-1860182565,192289792,-683093964
13.54,ROLL (右傾),-608265475,18821326,884561919,-40190245,-835707135,-11028172
13.59,ROLL (右傾),-610743992,27756747,882631143,1221171419,-880236799,-404645068
13.64,ROLL (右傾),-615383865,31632609,879266629,-939765285,-508763647,1166764084
13.69,ROLL (右傾),-619351388,37829502,876240776,-1536027173,2117812482,-2007025100
13.74,ROLL (右傾),-623681723,47671959,872613414,1163908058,-1754605822,637928244
13.79,ROLL (右傾),-627163957,61153949,869097680,-885219622,-1658673917,-798962381
13.84,ROLL (右傾),-630973957,76671943,864742999,-82221862,-940863228,1475250739
13.89,ROLL (右傾),-634520151,86630733,860465730,-1443025446,1306601733,1118456115
13.94,ROLL (右傾),-638297491,94743928,855729471,1834677465,2024645893,1063584051
13.99,ROLL (右傾),-641987784,103383754,850989748,940293337,-897439482,-1273841358
14.05,ROLL (右傾),-643554376,113374237,847269510,-1205623591,502579462,-2041675726
14.10,ROLL (右傾),-644334239,128323554,843487534,1631426777,-502290937,781796914
14.15,ROLL (右傾),-645308386,142937999,839777392,509643225,-1894808312,1895566642
14.20,ROLL (右傾),-646787851,152355637,836225736,-171150631,901977097,-926230735
14.25,ROLL (右傾),-649606344,150438703,834237457,952846297,797177608,292862257
14.30,ROLL (右傾),-651971972,137293086,835367254,2092049369,518860296,1454492209
14.35,ROLL (右傾),-653771405,118871449,837780432,1933379801,-1714088697,-796659919
14.40,ROLL (右傾),-655022818,99675920,840272932,505804248,284160005,613160242
14.45,ROLL (右傾),-655959449,77203398,843230826,1742399192,-972580348,1789805106
14.50,ROLL (右傾),-654624768,51190672,847606588,3734488,-1877275389,1014203698
14.55,ROLL (右傾),-650227611,22533258,853357716,1699757785,-1965795583,-1808474830
14.60,ROLL (右傾),-643407863,-13836105,859397157,157329113,-1210045185,626800947
14.65,ROLL (右傾),-634255557,-51141378,864873118,990327514,-22744068,-1628795853
14.70,ROLL (右傾),-622729542,-90538018,869703396,-1159274022,-562062598,-459352525
14.75,ROLL (右傾),-610730655,-124357396,873453249,1644009691,-327903496,-1042936012
14.80,ROLL (右傾),-598059619,-157308633,876011439,-1655350564,665427958,-1344326092
14.85,ROLL (右傾),-588522466,-179807825,876871464,517794780,-1353103115,687817524
14.91,ROLL (右傾),-578701629,-201496860,877160740,-1011449379,-463012365,610879540
14.96,ROLL (右傾),-569192127,-222992445,876620292,1104220894,-1016613390,69877812
15.01,YAW (右回),-555500579,-250831066,875046511,-574888994,647957745,1864771636
15.06,YAW (右回),-536841129,-283622012,872912359,1467220192,-2075846417,-409663692
15.11,YAW (右回),-511395978,-329593430,866645393,1991738593,-1429382420,-1846171853
15.16,YAW (右回),-481499843,-375033012,859748521,1038437603,1282647529,-1447543245
15.21,YAW (右回),-449909825,-416658974,851410661,-1075106075,-498521369,-444678350
15.26,YAW (右回),-427684536,-445611329,843406510,1208845030,-1081970459,-1369684686
15.31,YAW (右回),-412244520,-468673314,834269675,-660247065,-560197404,-336479951
15.36,YAW (右回),-400950716,-486855181,827155041,1157241320,-215090206,1633832241
15.41,YAW (右回),-390154995,-503589521,819979934,230014696,1876294625,-1629036752
15.46,YAW (右回),-380650621,-519966679,810879745,-2084876311,703594977,17519920
15.51,YAW (右回),-371226917,-537503598,798952949,-611917847,-1839663393,-183656657
15.56,YAW (右回),-363790823,-552577827,786598123,436097258,-581693217,-343350738
15.61,YAW (右回),-355554186,-562795312,775395189,1991036650,-798198562,1972844334
15.66,YAW (右回),-346327062,-569394574,770020390,-361276437,1924796382,647292205
15.72,YAW (右回),-342961298,-574091674,764892871,1859358443,1712244957,-950626515
15.77,YAW (右回),-350647998,-579382071,754802897,1116281323,-917211171,-782172884
15.82,YAW (右回),-362118684,-595929229,736432490,-461280534,1943501532,1779557675
15.87,YAW (右回),-384313393,-617348380,713114367,-807987223,-469617445,-12418774
15.92,YAW (右回),-407768569,-639869965,689293158,133345767,-212083495,1724323113
15.97,YAW (右回),-424079030,-662747173,669232929,1242675686,-616071208,565175079
16.02,YAW (右回),-436793403,-678065847,655418844,-988809243,1233753559,-588967897
16.07,YAW (右回),-455339430,-686072625,642216435,1511185636,-816047145,-210680026
16.12,YAW (右回),-477304734,-693579257,625136228,1659407587,131246294,1691501093
16.17,YAW (右回),-492984883,-701902844,608246309,-844784158,80751062,622477604
16.22,YAW (右回),-504180278,-714550612,587814937,-892210463,-1395496747,425199907
16.27,YAW (右回),-512444256,-726027386,568551308,-1598524191,-2035041836,-1939348703
16.32,YAW (右回),-517444661,-741210140,547311747,-882169631,-469249325,-2091868384
16.37,YAW (右回),-516590129,-757478670,529492376,-814402079,-221586990,-1737912545
16.42,YAW (右回),-517103202,-768965257,511775403,-1633604127,2005215954,-1424850658
16.47,YAW (右回),-514983076,-782993675,493012693,1559973345,-176794415,-708419043
16.52,YAW (右回),-510571567,-799669913,472697069,-783576607,1728141008,-305648612
16.58,YAW (右回),-515441148,-812211774,448741757,83773153,-1029597489,2101460762
16.63,YAW (右回),-521727022,-824897337,422738539,-770447392,-955198002,1803170329
16.68,YAW (右回),-528838749,-834595655,401255657,-1550877984,-1189854770,-374543849
16.73,YAW (右回),-540896838,-838846194,381397347,-1164852513,238616782,1672067862
16.78,YAW (右回),-552559447,-844207199,357628417,-1449389857,-1586778419,33181717
16.83,YAW (右回),-565119860,-848060002,331420330,-1930145570,-1633586227,-1441611501
16.88,YAW (右回),-577080219,-852758588,300519188,1702140637,-990958643,344975633
16.93,YAW (右回),-588375705,-855078994,273292471,1729752796,-1366882099,-1222882800
16.98,YAW (右回),-598773845,-856043916,248091625,-1418768420,1959721420,-376190706
17.03,YAW (右回),-604427374,-858445238,224488021,-1842611749,1244321228,1433035021
17.08,YAW (右回),-614022741,-856867407,200738505,-1413388581,-1321341492,-922290421
17.13,YAW (右回),-619398524,-857364909,174871176,-2068179749,1403446732,-2007864310
17.18,YAW (右回),-623794485,-856868125,154091063,-878259750,-482677300,926822153
17.23,YAW (右回),-627490184,-856094392,133466666,2017630682,1208613324,713749511
17.28,YAW (右回),-629188306,-855817254,116163324,777617370,-633078324,-58528762
17.33,YAW (右回),-629479950,-856180612,100154132,-219841830,2092496844,339474437
17.38,YAW (右回),-627158400,-857753827,83771684,-2142069030,498589644,608304644
17.44,YAW (右回),-623611663,-859209187,66729408,-244263718,495110604,-1070204413
17.49,YAW (右回),-621421986,-858904570,48295371,1591408090,103337676,-873603070
17.54,YAW (右回),-619923865,-857173214,29379646,1739984091,580118732,1045217281
17.59,YAW (右回),-620295678,-854763094,15622771,34211803,-1437004339,1935863296
17.64,YAW (右回),-618274525,-854781613,8502823,601957851,1393626573,666796288
17.69,YAW (右回),-615185169,-856885634,7359323,-284928549,2130111692,1531670528
17.74,YAW (右回),-611631259,-859434717,5891072,1698663387,588367564,14964992
17.79,YAW (右回),-608423452,-860036112,-2503794,-466502437,-253510452,-1899243009
17.84,YAW (右回),-605188417,-858916479,-18447333,-1081152037,-2114335284,461694718
17.89,YAW (右回),-607890182,-853183728,-34128896,-95107877,275981773,3995645
17.94,YAW (右回),-607853574,-849042089,-47296017,-85736229,1470457037,-279892227
17.99,YAW (右回),-603778534,-847751982,-54929784,437388252,-766215987,-1999193604
18.04,YAW (右回),-603581161,-842199733,-69319159,387253980,1259195853,155639547
18.09,YAW (右回),-611809454,-827291140,-95490403,1384614107,-58085170,-1645326598
18.14,YAW (右回),-618661541,-814267762,-117959544,1543053275,-1908246577,-2011891464
18.19,YAW (右回),-624259538,-801908945,-139852929,781109978,802632656,2130946807
18.24,YAW (右回),-624957127,-792877525,-158652535,971620314,732347856,-1993896970
18.29,YAW (右回),-620147014,-787482188,-176864457,-1169290789,-1258745903,927167989
18.35,YAW (右回),-616308821,-780163331,-195379816,-1411431461,-39419951,-1732420876
18.40,YAW (右回),-604595952,-775743474,-215605401,278525659,236504017,1730094835
18.45,YAW (右回),-604748353,-765531818,-231348252,-1085934373,1458134738,-454609422
18.50,YAW (右回),-607953349,-758967138,-239220176,996066267,-1642806318,818593265
18.55,YAW (右回),-603679961,-768355581,-233585873,663946460,64173010,801313778
18.60,YAW (右回),-603298539,-781367509,-214689077,358943452,726101457,-887474957
18.65,YAW (右回),-608406167,-792105128,-190172119,1769323739,1483721168,691317492
18.70,YAW (右回),-607832115,-809778980,-165517509,-851982885,-591348785,996614902
18.75,YAW (右回),-608571925,-824395538,-143439252,-336741925,-289874738,1816818679
18.80,YAW (右回),-605360373,-840834490,-120958323,200272603,1189274061,-1923953928
18.85,YAW (右回),-598809267,-857990025,-94190375,1306873564,1998380236,-641441030
18.90,YAW (右回),-592293210,-871213891,-68716309,-1504529700,-1118563636,-344397829
18.95,YAW (右回),-589860590,-878907856,-42517636,309450716,820944075,2084272125
19.00,YAW (右回),-586713717,-883395770,-20709721,-1955264547,1181964491,-1476475906
19.05,YAW (右回),-586771225,-883291137,7370838,-409729315,-16033077,1450733568
19.10,YAW (右回),-591224956,-880274252,45690374,-2069904676,-1273722677,103725314
19.15,YAW (右回),-594366483,-878183712,82896774,-307260708,-520443957,-2031620092
19.20,YAW (右回),-594571575,-876946222,118896182,-913403940,-757286197,909514247
19.25,YAW (右回),-609225757,-865286239,155022091,-470568997,-1580766004,192101641
19.31,YAW (右回),-620571574,-854282581,185348988,1255408347,-1414654771,2083720203
19.36,YAW (右回),-611739119,-856249228,211196302,295340507,1957492428,-1902537204
19.41,YAW (右回),-596161825,-860391623,239244571,-548767780,964147148,462766606
19.46,YAW (右回),-584715396,-858655155,269634308,2096309725,1308021196,72028688
19.51,YAW (右回),-571876502,-855716824,299510952,1792797149,684523212,-1473455599
19.56,YAW (右回),-552487181,-854600084,329989192,-206171681,1825968077,1211935507
19.61,YAW (右回),-538625096,-849904873,356310515,-1204034081,393959373,-203604971
19.66,YAW (右回),-520748055,-845437251,383822613,-385616160,-1113154611,363585558
19.71,YAW (右回),-501032556,-841668107,409546262,-1797709086,-181807667,372140312
19.76,YAW (右回),-491325250,-831192190,432346637,-1090996510,-2113702450,219596057
19.81,YAW (右回),-480353782,-823630694,451027462,174218979,-1704662834,102949402
19.86,YAW (右回),-466702158,-816589466,473414852,-1297076508,1725256655,-994298084
19.91,YAW (右回),-455958351,-808323999,494651245,-1314860316,1643434447,1841789725
19.96,YAW (右回),-439585296,-799328998,518468930,-260715291,439704528,1110828830
